Name,Tags
accessibility,"inclusive, equity, disability, disabled, access, accessible"
agriculture,"farm, farms, farming, garden, gardens, gardening, tools, shovel, pitchfork, cultivate, grow, till, soil, harvest, harvesting"
air,"blow, wind, winds, windy, flow, airflow, breeze, breezy"
air-pollution,"dirty, polluted, toxic, skull, unbreatheable, climate"
air-quality,"clean, breathe, breatheable, filter, filters, filtering, measure, flow, airflow"
albums,"carousel, carousels, gallery, galleries, stacked, photo, photos, image, images, sort, browse, photo album"
amexcard,"American Express, credit card, credit, card, cards, pay, payment, charge, money, AMEX, amex"
amusement,"horse, horses, carousel, carousel, merry-go-round, roundabout, carnival, ride, rides, amusement park"
anchor,"nautical, boat, boats, ship, ships, yacht, yachts, drop, anchored, anchors away, harbor, sea, seas, ocean, oceans, water, stay, hold, attach, weigh down"
android,"Linux, mobile, phone, phones, cell phone, cellphone, cellular, smartphone, tablet, touchscreen"
angry,"annoyed, bitter, enraged, exasperated, furious, heated, indignant, irate, irritable, irritated, mad, offended, outraged, resentful, sullen, uptight"
apple,"Mac, Macintosh, mobile, phone, phones, cell phone, cellphone, cellular, smartphone, tablet, touchscreen, iPad"
apple-pay,"pay, payment, charge, epay, e-pay, wallet, money, buy"
apps,"API, Application Programming Interface, application, applications, app, mobile, menu, bento"
archive,"archives, archiving, box, boxed, boxing, storage, store, document, documents, file, files"
arrow-down,"triangle, point, points, pointer, indicate, indicator, direction, control"
arrow-fill-down,"point, points, pointer, indicate, indicator, direction, control, down"
arrow-fill-left,"point, points, pointer, indicate, indicator, direction, control, left"
arrow-fill-left-down,"point, points, pointer, indicate, indicator, direction, control, left, down"
arrow-fill-left-up,"point, points, pointer, indicate, indicator, direction, control, left, up"
arrow-fill-right,"point, points, pointer, indicate, indicator, direction, control, right"
arrow-fill-right-down,"point, points, pointer, indicate, indicator, direction, control, right, down"
arrow-fill-right-up,"point, points, pointer, indicate, indicator, direction, control, right, up"
arrow-fill-up,"point, points, pointer, indicate, indicator, direction, control, up"
arrow-left,"triangle, point, points, pointer, indicate, indicator, direction, control, left"
arrow-next,"carat, point, points, pointer, indicate, indicator, direction, control, ext"
arrow-prev,"carat, point, points, pointer, indicate, indicator, direction, control, previous"
arrow-right,"triangle, point, points, pointer, indicate, indicator, direction, control, right"
arrow-up,"triangle, point, points, pointer, indicate, indicator, direction, control, up"
at-sign,"asperand, at symbol, commercial at, address sign, email address, email, emails, address, addresses, social media, handle, ligature"
attachment,"attach, document, documents, file, files, upload, uploads, add, include, clip, paperclip"
audience,"audiences, people, person, persons, persona, group, groups, three, user, users, team, teams, teammates, members"
audio,"listen, listens, listening, hear, hears, hearing, headphone, headphones, headset, music, earpiece, ear, ears"
badminton,"game, play, player, players, sport, sports, raquet, shuttlecock, net, team, teams, court, activity"
balloons,"balloon, ballooning, ballooned, present, gift, party, parties, celebrate, fair, circus, birthday, birthdays, congrats, congratulations"
bar-chart,"bar graph, graphs, data, visualization, charts, bars, value, values, column, columns, vertical, vertically, horizontal, horizontally, axis, axes, categories, measure"
barge-ship,"ships, cargo, supply chain, boat, boats, transport, transporting, goods, freight, flat-bottomed, canal, river, ocean, oceans, sea, seas, water, consumer, commercial"
bars-up,"bar, chart, charts, arrow, arrows, point, direction, upward, trend, positive, volume"
bars-upward,"bar graph, graphs, data, visualization, chart, charts, bar, value, values, column, columns, vertical, vertically, horizontal, horizontally, axis, axes, categories, measure, up, trend, growth, positive, arrow, improve, improvement"
baseball,"game, play, player, players, sport, sports, team, teams, activity, base, bases, bat, field, homerun, pastime, ballpark, throw, hit, catch, glove, MLB, Major League Baseball, league"
basketball,"game, play, player, players, sport, sports, team, teams, activity, court, full-court, basket, jump shot, layup, dribble, net, swish, NBA, National Basketball Association, league, bounce, pass"
bath,"bathing, bathtub, tub, shower, showering, clean, cleaning, cleanliness, hygiene, health, water, soap"
bear,"California, CA, state, flag, flags, bear flag, mascot, bears, brown, grizzly, symbol, emblem, logo"
bell,"bells, ring, rings, ringing, ringer, alarm, sound, chime, tone"
bike,"motorbike, motorcycle, cycle, ride, rider, riding, helmet, sport bike, moto, modern"
billiards,"8-ball, balls, billiard balls, billiard ball, pool, corner, side, pocket, scratch, cue, rack, velvet, table, chalk, striped, solid"
binoculars,"binoc, binocs, zoom, magnify, enhance, field glasses, larger, optical, lens, eyes, look, view, viewing, distant, far away, spy, peep, peeping, spyglass, telescope"
biohazard,"bio, biological, hazard, waste, toxic, chemical, disease, threat, dangerous, harmful, health, environment, humans, animals, infectious, infect, contaminate, contamination, microorganism, bacteria, virus, COVID-19, coronavirus, corona, COVID"
boat,"ship, ships, boats, yacht, yachts, canal, river, ocean, oceans, sea, seas, luxury, fish, fishing, fish, water, Coast Guard, coast, patrol, shore"
book,"books, library, libraries, read, readers, reading, album, dictionary, publication, publications, text, textbook, volume, fiction, write, writing, manual, manuals, handbook, glossary, lexicon, terminology, thesaurus, vocabulary, word, words, edition, author, authors"
bookmark,"book, books, mark, marker, placeholder, save, record, address, URL, website, webpage, page, file, folder, quick, direct, link, access, favorite, favorites, hotlist, whitelist"
books,"book, library, libraries, read, readers, reading, album, dictionary, publication, publications, text, textbook, volume, fiction, write, writing, manual, manuals, handbook, glossary, lexicon, terminology, thesaurus, vocabulary, word, words, edition, author, authors"
bowling,"ball, balls, bowl, bowler, bowls, sport, sports, lane, bumper, pin, pins, strike, spare, alley, gutter, heavy, round"
brain,"brains, think, idea, ideate, intelligent, intellect, intellectual, smart, smarts, genius, scholar, sage, mastermind, psychology, mind, head, skull, grey matter, nerves, nervous system, sensory, motor, learning, learn, mental, mental health, injury, injuries, disability, impairment, psychology, psychological, cognitive, autism"
bridge,"bridges, bridging, bridged, connect, connecting, connection, transition, cross, crossing, unite, link, bond, span, tie, extension, branch, platform, overpass, path, pathway, passage, structure, road, roadway, build, building"
bridge-alt,"bridges, bridging, bridged, connect, connecting, connection, transition, cross, crossing, unite, link, bond, span, tie, extension, branch, platform, overpass, path, pathway, passage, structure, road, roadway, build, building"
briefcase,"brief, case, bag, baggage, folder, portfolio, padfolio, messenger bag, roller, expandable, valise, attache, leather, aluminum, carry, carrying, store, storage, business, office, work, working, career, interview, job, seek, seeker, professional, profession"
building,"build, builder, building, structure, architect, architecture, construction, construct, edifice, skyscraper, city, urban, skyline, downtown, view, window, floor, elevator, business, office, offices, brick, steel, stone, glass"
bullet,"bullet,dot,period,circle,point"
bus,"busses, bussed, bussing, urban, city, metro, mass, transit, school, shuttle, public, transport, transportation, fare, fares, access, board, passenger, passengers, vehicle, route, pass, passes, service, municiple"
bus-alt,"busses, bussed, bussing, urban, city, metro, mass, transit, school, shuttle, public, transport, transportation, fare, fares, access, board, passenger, passengers, vehicle, route, pass, passes, service, municiple"
ca-capitol,"California, state, building, seat, govern, government, governor, Sacramento, capital, chambers, legislature, assembly, senate, neoclassical"
ca-state,"California, Unites States, map, outline"
cal,"calendar, calendars, agenda, time, season, seasons, seasonal, year, years, month, months, week, weeks, day, days, date, dates, schedule, scheduler, scheduling, plan, planner, planning, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, set, holiday, day off, time off, save the date, meeting, pages, chart, timetable"
cal-bear,"California, CA, state, flag, flags, bear flag, mascot, bears, brown, grizzly, symbol, emblem, star, logo"
calculator,"calculate, calculations, computer, count, counter, number, numbers, add, subtract, divide, multiply, equals, percent, percentage, tally, sum, value, total, math, mathematical, mathematics, arithmetic, equations, electronic, device, keyboard"
calendar,"cal, calendars, agenda, time, season, seasons, seasonal, year, years, month, months, week, weeks, day, days, date, dates, schedule, scheduler, scheduling, plan, planner, planning, Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday, set, holiday, day off, time off, save the date, meeting, pages, chart, timetable"
call,"caller, calling, phone, telephone, telecom, telecommunications, communications, phonecall, ring, ringer, ringing, ringtone, buzz, bell, tinkle, sound, volume, speak, speaking, speakerphone, contact, contact us, message, text"
camera,"cam, cameras, picture, photo, photograph, photographs, film, image, images, lens, focus, shutter, click, point, visual, device, optical, capture, develop"
